Keyword,nature,step
daughterdeficit,keyword,7
DiaInternacionalDeLaMujer,keyword,7
EndFGC,keyword,7
endFGM,keyword,7
ENDviolence,keyword,7
FCvsFGM,keyword,7
FemaleCircumcision,keyword,7
FGC,keyword,7
FGM,keyword,7
GBSS,keyword,7
GBV,keyword,7
genderequality,keyword,7
GenderEqualityIsForMenToo,keyword,7
genderparity,keyword,7
girlchild,keyword,7
GlobalGoals,keyword,7
HealthForAll,keyword,7
JourneeDesDroitsDesFemmes,keyword,7
KeepItEqual,keyword,7
PressforProgress,keyword,7
SaveTheGirlChild,keyword,7
SexDetermination,keyword,7
SexSelection,keyword,7
sexselectiveabortion,keyword,7
WomensDay,keyword,1
