,author_avatar_img,author_gender,author_handle,author_link,author_name,author_user_id,bucket,canonical,comments,date_found,dislikes,domain,geo_city,geo_country,geo_featurename,geo_location,geo_method,geo_name,geo_name_id,geo_point,geo_state,hashcode,identifier,image1_src,image2_src,image3_src,image_src,index_method,lang,last_updated,likes,links,main,main_authoritative,main_checksum,main_format,main_length,mentions,metadata_score,metadata_updates,permalink,pinned,published,replied,replied_profile_link,replied_profile_title,resource,sentiment,sequence,sequence_range,shared,shared_author_avatar_img,shared_author_handle,shared_author_link,shared_author_name,shared_author_user_id,shared_identifier,shared_permalink,shared_profile_link,shared_profile_title,shared_type,shares,site,source_assigned_tags,source_content_checksum,source_content_length,source_created,source_date_found,source_description,source_favicon_height,source_favicon_width,source_favorites,source_followers,source_following,source_handle,source_hashcode,source_http_status,source_image_height,source_image_src,source_image_width,source_last_posted,source_last_published,source_last_updated,source_likes,source_link,source_location,source_next_update,source_parsed_posts,source_parsed_posts_max,source_profiles,source_publisher_subtype,source_publisher_type,source_resource,source_setting_author_policy,source_setting_index_strategy,source_setting_minimum_content_metadata_score,source_setting_update_strategy,source_spam_probability,source_title,source_update_interval,source_user_interactions,source_verified,tags,type,version,video_player
0,https://pbs.twimg.com/profile_images/847298293864448000/X1rZo6B1_bigger.jpg,UNKNOWN,marcelcuijk,https://twitter.com/marcelcuijk,marcelleke,590428739,1494471300084,https://twitter.com/marcelcuijk/status/858909598249570305,,2017-05-11T02:55:59Z,,twitter.com,Cuijk,NL,PPL,cuijk,SOURCE_LOCATION,"Cuijk, Gemeente Cuijk, North Brabant, Netherlands",2757874,"51.73083,5.87917",North Brabant,0PcdjhrHWgRh0pRCWYGidgsCLiA,858909598249570305,,,,https://pbs.twimg.com/media/C-t1uN8XUAA2Syn.jpg,SOURCE_TASK,nl,2017-05-11T02:55:59Z,4.0,,#4mei gaan ze ons herdenken #vluchtelingen #dodenherdenking,True,blBKxuaEQTQcB8T7eU6-xxj4r2I,TEXT,59,,326,,https://twitter.com/marcelcuijk/status/858909598249570305,,2017-05-01T05:03:00Z,False,,,https://twitter.com/marcelcuijk/status/858909598249570305,NEUTRAL,1494471359760700007,74784,,,,,,,,,,,NONE,2.0,twitter.com,['#qEnI3K5iNlBUhbTeo7j3JNc3RYo'],bELYeQeznIth7J07PNuWsta_GwQ,331849,2012-05-25T05:09:00Z,2017-05-11T02:55:58Z,"<p>BN-er presentator,auteur,singer/songwriter,positiviteitsgoeroe,</p>",0,0,205,261,344,marcelcuijk,pGtVuRA-f7B44JEnS9XtgbZsgvU,200,0,https://pbs.twimg.com/profile_images/847298293864448000/X1rZo6B1_400x400.jpg,0,2016-11-10T08:17:35Z,2017-05-11T02:55:58Z,2016-11-11T04:18:39Z,0,https://twitter.com/marcelcuijk,cuijk,2017-05-11T02:55:58Z,22,22,,twitter,MICROBLOG,https://twitter.com/marcelcuijk,DEFAULT,DEFAULT,0,ADAPTIVE,0.0,marcelleke,3600000,0,False,"['4mei', 'dodenherdenking', 'vluchtelingen']",POST,6.5.166,
1,https://pbs.twimg.com/profile_images/734036329928007680/ebbbsDG8_400x400.jpg,MALE,RF_HFC,https://twitter.com/RF_HFC,Robin Fransman,281033838,1493892000012,https://twitter.com/RF_HFC/status/859830129668837376,,2017-05-04T10:00:02Z,,twitter.com,Amsterdam,NL,PPLC,Amsterdam,SOURCE_LOCATION,"Amsterdam, Gemeente Amsterdam, North Holland, Netherlands",2759794,"52.37403,4.88969",North Holland,2TeEQhOLxmWNynwtqesUpXnEQqw,859830129668837376,,,,,SOURCE_TASK,nl,2017-05-04T10:00:02Z,,,Dit. Hoe ongelooflijk ziek. Netwerk wilde schuld van zelf opgezette aangeslagen in schoenen #vluchtelingen schuiven,True,uDi8_rJXAoN5oSbs8oGQeZ5HFL0,TEXT,115,,324,,https://twitter.com/RF_HFC/status/859830129668837376,,2017-05-03T17:50:55Z,False,,,https://twitter.com/RF_HFC/status/859830129668837376,NEUTRAL,1493892002884800024,69612,True,https://pbs.twimg.com/profile_images/844493258629763072/GOB34i5L_bigger.jpg,kajleers,https://twitter.com/kajleers,Kaj Leers,29955357,859827625241583622,https://twitter.com/kajleers/status/859827625241583622,https://twitter.com/kajleers,Kaj Leers,RAW,,twitter.com,['#G0YTWiryNleW5W4IWx2LALoQzdE'],_CNMuxrwz55WrFaUTaQEEo3Xkjc,352714,2011-04-12T07:01:00Z,2017-04-18T21:04:43Z,"<p>Finance &amp; ICT, economie, politieke economie, pensioenen, politiek, heel veel dochters.</p>",0,0,1603,7088,708,RF_HFC,qSjRM6byfKnpK6xuAs-W2zo8pGE,200,0,https://pbs.twimg.com/profile_images/734036329928007680/ebbbsDG8_400x400.jpg,0,2017-04-29T17:45:35Z,2017-05-04T10:00:01Z,2017-04-30T18:00:01Z,0,https://twitter.com/rf_hfc,Amsterdam,2017-05-04T10:25:58Z,34,34,['http://nl.aup.nl/books/9789089647276-sparen-is-geen-deugd.html'],twitter,MICROBLOG,https://twitter.com/rf_hfc,,DEFAULT,0,ADAPTIVE,0.0,Robin Fransman,318355263,0,False,['vluchtelingen'],POST,6.5.166,
2,https://pbs.twimg.com/profile_images/552472422574592000/0h22CBCZ_400x400.png,UNKNOWN,VerweyJonkerIns,https://twitter.com/VerweyJonkerIns,VerweyJonkerInst,255910222,1494470100094,https://twitter.com/VerweyJonkerIns/status/860104608970149889,,2017-05-11T02:36:55Z,,twitter.com,,NL,,Utrecht,SOURCE_LOCATION,"Utrecht, Netherlands",2745909,"52.37403,4.88969",Utrecht,u-r32y3USVfuU5Hyh7_AdiQYbvI,860104608970149889,,,,https://pbs.twimg.com/media/C-4xeVDXsAExptS.jpg,SOURCE_TASK,nl,2017-05-11T02:36:55Z,,['https://t.co/alniVRCgCr'],Voed de veerkracht van #vluchtelingen. Halleh Ghorashi blogt waarom dat cruciaal is voor succesvolle #integratie. http://bit.ly/2p1sZUM ,True,6zWqWE4UgOtoqPa2ObvP4r-kQaY,TEXT,136,,324,,https://twitter.com/VerweyJonkerIns/status/860104608970149889,,2017-05-03T08:00:15Z,False,,,https://twitter.com/VerweyJonkerIns/status/860104608970149889,NEUTRAL,1494470215348300012,10994,True,https://pbs.twimg.com/profile_images/547328199546265600/F0ebfdOz_bigger.png,PlatformKIS,https://twitter.com/PlatformKIS,Kennisplatform KIS,2917284101,859678979774717952,https://twitter.com/PlatformKIS/status/859678979774717952,https://twitter.com/PlatformKIS,Kennisplatform KIS,RAW,,twitter.com,['#qEnI3K5iNlBUhbTeo7j3JNc3RYo'],4fM1M8G8XU-vDlAAMmeDe_DHN5g,340452,2011-02-22T12:14:00Z,2017-05-11T02:36:54Z,"<p>Onafhankelijk onderzoeksinstituut voor advies en innovatie op sociaal-maatschappelijk terrein. Volg ook <a href=""https://twitter.com/PlatformKIS"" rel=""nofollow"">@<b>PlatformKIS</b></a>.</p>",0,0,117,3624,673,VerweyJonkerIns,LTwmLWrhDOzHVUUrkvoZr6RRrDU,200,0,https://pbs.twimg.com/profile_images/552472422574592000/0h22CBCZ_400x400.png,0,2017-02-03T10:04:25Z,2017-05-11T02:36:54Z,2017-02-03T19:45:43Z,0,https://twitter.com/VerweyJonkerIns,Utrecht,2017-05-11T02:36:54Z,35,35,['http://www.verwey-jonker.nl'],twitter,MICROBLOG,https://twitter.com/VerweyJonkerIns,DEFAULT,DEFAULT,0,ADAPTIVE,0.0,VerweyJonkerInst,3600000,0,False,"['integratie', 'vluchtelingen']",POST,6.5.166,
3,https://pbs.twimg.com/profile_images/2661992288/a28ecb3dddf703c5773c76a72837d5e2_400x400.jpeg,MALE,harryfmik,https://twitter.com/harryfmik,harry mik,852707149,1493667300028,https://twitter.com/harryfmik/status/859104848691769344,,2017-05-01T19:37:02Z,,twitter.com,,,,h.mik@telfort.nl,DEFAULT,,,,,Jnxbq3q23k-cypmWuuX7SFM7MeA,859104848691769344,,,,,SOURCE_TASK,nl,2017-05-01T19:37:02Z,,['https://t.co/MsC9e5erRg'],'Betekenis 4 mei verwatert door herdenken #vluchtelingen' http://www.ad.nl/binnenland/betekenis-4-mei-verwatert-door-herdenken-vluchtelingen~ad877be0/ … #CIDI #WW2 #dodenherdenking Knap staaltje linkse idioterie,True,DBfNyhLiUdT1umWV8l7fubuMvWU,TEXT,211,,324,,https://twitter.com/harryfmik/status/859104848691769344,,2017-05-01T17:17:27Z,False,,,https://twitter.com/harryfmik/status/859104848691769344,NEUTRAL,1493667422427500014,36128,True,https://pbs.twimg.com/profile_images/456425310192291840/EItuhA9j_bigger.jpeg,Aethonaia,https://twitter.com/Aethonaia,Aethonaia,2447038212,859094429189246976,https://twitter.com/Aethonaia/status/859094429189246976,https://twitter.com/Aethonaia,Aethonaia,RAW,,twitter.com,['#G0YTWiryNleW5W4IWx2LALoQzdE'],RaqtDsWpY0bfrn9EPNvHWVprbuQ,335408,2012-09-29T04:30:00Z,2017-04-18T21:13:43Z,<p>Was werkzaam in de olieindustrie I Rookte graag goede Havannaas I Wielrennen I Politiek I</p>,0,0,254,2614,3262,harryfmik,bQLrRTSfFVXskqPRONK1OJfyHn0,200,0,https://pbs.twimg.com/profile_images/2661992288/a28ecb3dddf703c5773c76a72837d5e2_400x400.jpeg,0,2017-04-30T19:45:52Z,2017-05-01T19:37:01Z,2017-05-01T11:10:03Z,0,https://twitter.com/harryfmik,h.mik@telfort.nl,2017-05-01T19:37:49Z,34,34,,twitter,MICROBLOG,https://twitter.com/harryfmik,DEFAULT,DEFAULT,0,ADAPTIVE,0.0,harry mik,30463905,0,False,"['CIDI', 'WW2', 'dodenherdenking', 'vluchtelingen']",POST,6.5.166,
4,https://pbs.twimg.com/profile_images/826058455064702976/GPOTMaaj_400x400.jpg,MALE,Remyjayden,https://twitter.com/Remyjayden,Remy Velthuis,95613469,1494470700041,https://twitter.com/Remyjayden/status/860831025987035136,,2017-05-11T02:48:57Z,,twitter.com,Amsterdam,NL,PPLC,Amsterdam,SOURCE_LOCATION,"Amsterdam, Gemeente Amsterdam, North Holland, Netherlands",2759794,"52.37403,4.88969",North Holland,Os4E0JAaRqv3TloYfx4SsVE0Xo0,860831025987035136,https://pbs.twimg.com/media/C_FEaU9XYAA1bNp.jpg,https://pbs.twimg.com/media/C_FEcR3XYAEiX1B.jpg,https://pbs.twimg.com/media/C_FEd4aWsAAcTuk.jpg,https://pbs.twimg.com/media/C_FEYivXoAYDtCs.jpg,SOURCE_TASK,nl,2017-05-11T02:48:57Z,,,#Vrijheid verhalen van #vluchtelingen en #Nederlanders. Ook door te geven aan volgende generatie. #vrijheidsmaaltijd,True,h7Jb8qPYL76N_hT1IGswjRrREdE,TEXT,116,,334,,https://twitter.com/Remyjayden/status/860831025987035136,,2017-05-05T17:18:51Z,True,https://twitter.com/Remyjayden,95613469,https://twitter.com/Remyjayden/status/860831025987035136,NEUTRAL,1494470937215800015,5741,True,https://pbs.twimg.com/profile_images/3117875096/2ac92c534180a2388d4351040bbcdc8f_bigger.png,Implacement,https://twitter.com/Implacement,ImplacementProjecten,965717378,860544331479961600,https://twitter.com/Implacement/status/860544331479961600,https://twitter.com/Implacement,ImplacementProjecten,RAW,,twitter.com,['#qEnI3K5iNlBUhbTeo7j3JNc3RYo'],mbNoi8kefsbEeKqK9g90DCiaj2M,348626,2009-12-09T01:46:00Z,2017-05-11T02:48:55Z,"<p>Ondernemer @implacement/re- integratie/beveiliging/toezicht/handhaving/detacheren/trotse vader van 2 jongens, rugbyliefhebber (urc) en england/rolex/volvo</p>",0,0,449,131,253,Remyjayden,Ve25e7Adc4lt84M6o8TgXinTpbY,200,0,https://pbs.twimg.com/profile_images/826058455064702976/GPOTMaaj_400x400.jpg,0,2016-10-14T10:33:57Z,2017-05-11T02:48:55Z,2016-11-11T04:03:37Z,0,https://twitter.com/Remyjayden,Amsterdam,2017-05-11T02:48:55Z,38,38,['http://www.implacement.nl'],twitter,MICROBLOG,https://twitter.com/Remyjayden,DEFAULT,DEFAULT,0,ADAPTIVE,0.0,Remy Velthuis,3600000,0,False,"['Nederlanders', 'Vrijheid', 'vluchtelingen', 'vrijheidsmaaltijd']",POST,6.5.166,
5,https://pbs.twimg.com/profile_images/378800000786812769/eebb73740257a4c9946217c6e61b978b_400x400.jpeg,MALE,BballGideon,https://twitter.com/BballGideon,Gideon,278927284,1493927700017,https://twitter.com/BballGideon/status/860217553641254913,,2017-05-04T19:56:04Z,,twitter.com,Amsterdam,NL,PPLC,Amsterdam,SOURCE_LOCATION,"Amsterdam, Gemeente Amsterdam, North Holland, Netherlands",2759794,"52.37403,4.88969",North Holland,4A8r1N0cE3h9qUyLJ2GvafBNSlU,860217553641254913,,,,,SOURCE_TASK,nl,2017-05-04T19:56:04Z,,,Dit. Hoe ongelooflijk ziek. Netwerk wilde schuld van zelf opgezette aangeslagen in schoenen #vluchtelingen schuiven,True,uDi8_rJXAoN5oSbs8oGQeZ5HFL0,TEXT,115,,324,,https://twitter.com/BballGideon/status/860217553641254913,,2017-05-03T17:50:55Z,False,,,https://twitter.com/BballGideon/status/860217553641254913,NEUTRAL,1493927764471400151,1717,True,https://pbs.twimg.com/profile_images/844493258629763072/GOB34i5L_bigger.jpg,kajleers,https://twitter.com/kajleers,Kaj Leers,29955357,859827625241583622,https://twitter.com/kajleers/status/859827625241583622,https://twitter.com/kajleers,Kaj Leers,RAW,,twitter.com,['#G0YTWiryNleW5W4IWx2LALoQzdE'],mdmUjw2Fe0RdtqSUwd0LWQ8266k,354954,2011-04-08T12:24:00Z,2017-04-18T21:18:38Z,"<p>News travels fast, it is not allways correct and don't take it seriously ;)</p>",0,0,8795,1470,768,BballGideon,IFgej8OwE5kiM-YU4p29L6coME0,200,0,https://pbs.twimg.com/profile_images/378800000786812769/eebb73740257a4c9946217c6e61b978b_400x400.jpeg,0,2017-05-04T17:13:18Z,2017-05-04T19:56:03Z,2017-05-04T17:25:02Z,0,https://twitter.com/bballgideon,Amsterdam,2017-05-04T19:56:39Z,37,37,,twitter,MICROBLOG,https://twitter.com/bballgideon,,DEFAULT,0,ADAPTIVE,0.0,Gideon,9095813,0,False,['vluchtelingen'],POST,6.5.166,
6,https://pbs.twimg.com/profile_images/745014568716480512/P1BR-el2_400x400.jpg,MALE,PaulEMetz,https://twitter.com/PaulEMetz,Paul Metz,128172483,1494005700047,https://twitter.com/PaulEMetz/status/860499942200266753,,2017-05-05T17:35:04Z,,twitter.com,Velp,NL,PPL,"Velp, The Netherlands",SOURCE_LOCATION,"Velp, Gemeente Rheden, Gelderland, Netherlands",2745677,"51.995,5.97361",Gelderland,1s2XXkTFZmamO7BQV-kexu8zqzc,860499942200266753,,,,https://pbs.twimg.com/media/C_EB9gJW0AEZ7xo.jpg,SOURCE_TASK,nl,2017-05-05T17:35:04Z,,,Sterke cartoon van Kamagurka : DIT NOOIT WEER! #4mei #mensenrechten #vluchtelingen Via @parkietje,True,cQs5cZLoFQhg7bN0cGtQ1HQLEWA,TEXT,97,['parkietje'],334,,https://twitter.com/PaulEMetz/status/860499942200266753,,2017-05-05T12:29:01Z,False,,,https://twitter.com/PaulEMetz/status/860499942200266753,NEUTRAL,1494005704787100370,41847,True,https://pbs.twimg.com/profile_images/850106391662612484/FTnVfeWk_bigger.jpg,Bijan63,https://twitter.com/Bijan63,Bijan Moshaver,442077506,860471391103201280,https://twitter.com/Bijan63/status/860471391103201280,https://twitter.com/Bijan63,Bijan Moshaver,RAW,,twitter.com,['#G0YTWiryNleW5W4IWx2LALoQzdE'],_-2I9EZWfdXx9Eu9b-x1_5Np9Pk,344057,2010-03-31T02:30:00Z,2017-04-18T21:17:35Z,"<p>Sustainability = resilience, sense of urgency, leadership, courage, necessity, chances, sound economics, degrowth and many existing technologies</p>",0,0,497,3357,3066,PaulEMetz,P24itHYh29_T5k_iNWcbKeyCFQ8,200,0,https://pbs.twimg.com/profile_images/745014568716480512/P1BR-el2_400x400.jpg,0,2017-05-05T06:59:07Z,2017-05-05T17:35:03Z,2017-05-05T12:49:01Z,0,https://twitter.com/paulemetz,"Velp, The Netherlands",2017-05-05T17:35:30Z,35,35,['http://www.integer-consult.com'],twitter,MICROBLOG,https://twitter.com/paulemetz,,DEFAULT,0,ADAPTIVE,0.0,Paul Metz,17187516,0,False,"['4mei', 'mensenrechten', 'vluchtelingen']",POST,6.5.166,
7,https://pbs.twimg.com/profile_images/573805415487553536/l2MMpUyB_400x400.png,FEMALE,Dimco01,https://twitter.com/Dimco01,Ria Viscaal...,166127141,1494474600085,https://twitter.com/Dimco01/status/860238598121115648,,2017-05-11T03:50:10Z,,twitter.com,Hardenberg,NL,PPL,Hardenberg,SOURCE_LOCATION,"Hardenberg, Gemeente Hardenberg, Overijssel, Netherlands",2754861,"52.57583,6.61944",Overijssel,l4uLH3GdHXT-RU-ViQi7oTwH9PE,860238598121115648,,,,https://pbs.twimg.com/media/C-_0vogXUAAiVIt.jpg,SOURCE_TASK,nl,2017-05-11T03:50:10Z,,,#4Mei herdenken we alle #oorlogshelden & #slachtoffers. Geleerd op de #basisschool. #4mei #veteran #2minstil #vluchtelingen,True,C5sr-xHBCOsK76QhQd6eZDhzoCk,TEXT,123,,334,,https://twitter.com/Dimco01/status/860238598121115648,,2017-05-04T16:51:55Z,False,,,https://twitter.com/Dimco01/status/860238598121115648,NEUTRAL,1494474610695900151,9585,True,https://pbs.twimg.com/profile_images/834117386617909248/X3ThyZ9N_bigger.jpg,Mootjehersi,https://twitter.com/Mootjehersi,Mo Hersi,54201248,860175167435276290,https://twitter.com/Mootjehersi/status/860175167435276290,https://twitter.com/Mootjehersi,Mo Hersi,RAW,,twitter.com,['#qEnI3K5iNlBUhbTeo7j3JNc3RYo'],qGPuwT7sjULYq7JHN1ZNRBdTe2g,329623,2010-07-13T04:48:00Z,2017-05-11T03:50:09Z,"<p><a href=""https://twitter.com/hashtag/StopTBC?src=hash"">#<b>StopTBC</b></a>,AD6, fcTwente. 2 kinderen en 4 kleinkinderen.</p>",0,0,10136,354,890,Dimco01,fwUkBghZrRun75lg12vSO4fyGb4,200,0,https://pbs.twimg.com/profile_images/573805415487553536/l2MMpUyB_400x400.png,0,2016-11-10T21:22:14Z,2017-05-11T03:50:09Z,2016-11-11T06:24:15Z,0,https://twitter.com/Dimco01,Hardenberg,2017-05-11T03:50:09Z,36,36,,twitter,MICROBLOG,https://twitter.com/Dimco01,DEFAULT,DEFAULT,0,ADAPTIVE,0.0,Ria Viscaal...,3600000,0,False,"['2minstil', '4Mei', '4mei', 'basisschool', 'oorlogshelden', 'slachtoffers', 'veteran', 'vluchtelingen']",POST,6.5.166,
8,https://pbs.twimg.com/profile_images/796659149320896512/FESoddCP_400x400.jpg,UNKNOWN,NPORadio1,https://twitter.com/NPORadio1,NPO Radio 1,8870432,1493711100085,https://twitter.com/NPORadio1/status/859304701355012096,,2017-05-02T07:45:02Z,,twitter.com,Hilversum,NL,PPL,"Hilversum, The Netherlands",SOURCE_LOCATION,"Hilversum, Gemeente Hilversum, North Holland, Netherlands",2754064,"52.22333,5.17639",North Holland,4cW6qB_3BCZ8BjEJh8TpVCOEUQE,859304701355012096,,,,https://pbs.twimg.com/media/C-wm1NVW0AAAymG.jpg,SOURCE_TASK,nl,2017-05-02T07:45:02Z,,['https://t.co/I7GsWiTFcj'],Heftig debat in #didd tussen @Rikkovb vs @Esther_Voet over #4mei en #vluchtelingen Terugluisteren: http://www.nporadio1.nl/dit-is-de-dag/onderwerpen/406694-vluchtelingen-herdenken-op-4-mei … via @NPORadio1,True,JdrT5rjPTHUYfAcoF86Pe9pcHSQ,TEXT,205,"['Rikkovb', 'Esther_Voet', 'NPORadio1']",334,,https://twitter.com/NPORadio1/status/859304701355012096,,2017-05-01T17:56:48Z,False,,,https://twitter.com/NPORadio1/status/859304701355012096,NEUTRAL,1493711102999400287,58785,True,https://pbs.twimg.com/profile_images/559443830684934144/zvoiV-8C_bigger.png,DitisdeDag,https://twitter.com/DitisdeDag,Dit is de Dag,39725355,859104332465164297,https://twitter.com/DitisdeDag/status/859104332465164297,https://twitter.com/DitisdeDag,Dit is de Dag,RAW,,twitter.com,['#G0YTWiryNleW5W4IWx2LALoQzdE'],WjsvfOOJObvVbRdyy3sJGFsH0SU,339092,2007-09-14T12:16:00Z,2017-04-18T21:24:56Z,"<p>Het officiële Twitter account van <a href=""https://twitter.com/hashtag/NPORadio1?src=hash"">#<b>NPORadio1</b></a>. Nieuws, sport, achtergronden, interviews, reportages. Luister live: <a href=""https://t.co/1hoqFm3DyX"" rel=""nofollow noopener"" title=""http://www.nporadio1.nl/live""><span>http://www.</span><span>nporadio1.nl/live</span><span><span>&nbsp;</span></span></a></p>",0,0,3783,39962,1442,NPORadio1,dEAc7Hgdw7eqCZ1xl3JW3RlWUhs,200,0,https://pbs.twimg.com/profile_images/796659149320896512/FESoddCP_400x400.jpg,0,2017-05-02T05:29:12Z,2017-05-02T07:45:01Z,2017-05-02T05:47:03Z,0,https://twitter.com/nporadio1,"Hilversum, The Netherlands",2017-05-02T07:45:26Z,22,22,['http://www.nporadio1.nl'],twitter,MICROBLOG,https://twitter.com/nporadio1,,DEFAULT,0,ADAPTIVE,0.0,NPO Radio 1,7102460,0,True,"['4mei', 'didd', 'vluchtelingen']",POST,6.5.166,https://twitter.com/i/videos/859104332465164297
9,https://pbs.twimg.com/profile_images/576783932126937088/g7u9-N8D_400x400.jpeg,UNKNOWN,TonMeurs,https://twitter.com/TonMeurs,Meurs A.M.,3064000545,1494464100033,https://twitter.com/TonMeurs/status/860390653209051136,,2017-05-11T00:55:26Z,,twitter.com,,,,,,,,,,2O-Wyfog9e3O732gg0DCR-CXNzE,860390653209051136,,,,,SOURCE_TASK,nl,2017-05-11T00:55:26Z,,,#GerdieVerbeet spreekt zichzelf tegen als ze zegt dat de #dodenherdenking extra leeft door #Syrie en de #vluchtelingen. Nou dan! #nooitmeer!,True,T7fXLxZpT0xwvcn1hFSdSVqd6LE,TEXT,140,,314,,https://twitter.com/TonMeurs/status/860390653209051136,,2017-05-04T07:43:10Z,False,,,https://twitter.com/TonMeurs/status/860390653209051136,NEUTRAL,1494464126934400103,22033,True,https://pbs.twimg.com/profile_images/576783932126937088/g7u9-N8D_bigger.jpeg,TonMeurs,https://twitter.com/TonMeurs,Meurs A.M.,3064000545,860037069451792385,https://twitter.com/TonMeurs/status/860037069451792385,https://twitter.com/TonMeurs,Meurs A.M.,RAW,,twitter.com,['#qEnI3K5iNlBUhbTeo7j3JNc3RYo'],QB_attX-M1VXHFwKDNwwu-S5KFA,338526,2015-02-26T11:33:00Z,2017-05-11T00:55:25Z,<p></p>,0,0,419,63,154,TonMeurs,dqyP2BZzAu5Ux7FJX0uOpzofZck,200,0,https://pbs.twimg.com/profile_images/576783932126937088/g7u9-N8D_400x400.jpeg,0,2016-11-10T21:16:55Z,2017-05-11T00:55:25Z,2016-11-10T23:43:05Z,0,https://twitter.com/TonMeurs,,2017-05-11T00:55:25Z,32,32,['https://www.meursam.nl'],twitter,MICROBLOG,https://twitter.com/TonMeurs,DEFAULT,DEFAULT,0,ADAPTIVE,0.0,Meurs A.M.,3600000,0,False,"['GerdieVerbeet', 'Syrie', 'dodenherdenking', 'nooitmeer', 'vluchtelingen']",POST,6.5.166,
