,author_avatar_img,author_gender,author_handle,author_link,author_name,author_user_id,bucket,canonical,comments,date_found,dislikes,domain,geo_city,geo_country,geo_featurename,geo_location,geo_method,geo_name,geo_name_id,geo_point,geo_state,hashcode,identifier,image1_src,image2_src,image3_src,image_src,index_method,lang,last_updated,likes,links,main,main_authoritative,main_checksum,main_format,main_length,mentions,metadata_score,metadata_updates,permalink,published,replied,replied_link,replied_profile_link,replied_profile_title,resource,sentiment,sequence,sequence_range,shared,shared_author_avatar_img,shared_author_handle,shared_author_link,shared_author_name,shared_author_user_id,shared_identifier,shared_permalink,shared_profile_link,shared_profile_title,shared_type,shares,site,source_assigned_tags,source_content_checksum,source_content_length,source_created,source_date_found,source_description,source_favicon_height,source_favicon_width,source_favorites,source_followers,source_following,source_handle,source_hashcode,source_http_status,source_image_height,source_image_src,source_image_width,source_last_posted,source_last_published,source_last_updated,source_likes,source_link,source_location,source_next_update,source_parsed_posts,source_parsed_posts_max,source_profiles,source_publisher_subtype,source_publisher_type,source_resource,source_setting_author_policy,source_setting_index_strategy,source_setting_minimum_content_metadata_score,source_setting_update_strategy,source_spam_probability,source_title,source_update_interval,source_user_interactions,source_verified,tags,type,version,video_player
0,https://pbs.twimg.com/profile_images/3655535852/5628d2340f468b3c134d6b469e278abf_400x400.png,FEMALE,RenaNetjes,https://twitter.com/RenaNetjes,Rena Netjes,19417982,1496340000083,https://twitter.com/RenaNetjes/status/870337468184375296,,2017-06-01T18:01:17Z,,twitter.com,Amsterdam,NL,PPLC,Amsterdam,SOURCE_LOCATION,"Amsterdam, Gemeente Amsterdam, North Holland, Netherlands",2759794,"52.37403,4.88969",North Holland,F2b42IPmtYx-iHqAF1rgeR0mQ8s,870337468184375296,,,,https://pbs.twimg.com/media/DBQL-CoWAAUAJs1.jpg,SOURCE_TASK,nl,2017-06-01T18:01:17Z,,['https://t.co/KWUzki8M9n'],Zo’n vierhonderd Afghaanse #vluchtelingen worden op basis van omstreden bronnen aangemerkt als oorlogsmisdadigers. http://bit.ly/2qKHkFS ,True,_lEoP2gdE27d-sqQgnaf_-nlUF8,TEXT,137,,334,,https://twitter.com/RenaNetjes/status/870337468184375296,2017-06-01T17:38:40Z,False,,,,https://twitter.com/RenaNetjes/status/870337468184375296,NEUTRAL,1496340077830100013,6283,True,https://pbs.twimg.com/profile_images/649124700694650881/_wDpECve_bigger.jpg,oneworldnl,https://twitter.com/oneworldnl,oneworldnl,17340974,870333791235166209,https://twitter.com/oneworldnl/status/870333791235166209,https://twitter.com/oneworldnl,oneworldnl,RAW,,twitter.com,['#G0YTWiryNleW5W4IWx2LALoQzdE'],aAOkYELxZa8y7sNIOngRE-ovg-M,377936,2009-01-23T02:31:00Z,2017-05-29T19:19:12Z,"<p>Arabist, journalist. Egypt, N Syria, Libya. Published in Parool, NRC, VK, Newsweek, NYT. Biased against violence and hr violators. Usual caveats apply</p>",0,0,17895,16566,5373,RenaNetjes,JWnxJY6sm8-67nmqEL1ID3WGiLY,200,0,https://pbs.twimg.com/profile_images/3655535852/5628d2340f468b3c134d6b469e278abf_400x400.png,0,2017-06-01T16:37:12Z,2017-06-01T18:01:16Z,2017-06-01T17:39:47Z,0,https://twitter.com/renanetjes,Amsterdam,2017-06-01T18:01:24Z,37,37,['https://m.youtube.com/watch?v=O0XGHPTm-vw'],twitter,MICROBLOG,https://twitter.com/renanetjes,,DEFAULT,0,ADAPTIVE,0.0,Rena Netjes,1295753,0,False,['vluchtelingen'],POST,6.5.180,
1,https://pbs.twimg.com/profile_images/743028043011219456/CU3vdUv-_400x400.jpg,MALE,ArjanGeluk,https://twitter.com/ArjanGeluk,Arjan Geluk,49425353,1496440200063,https://twitter.com/ArjanGeluk/status/870613775942131713,,2017-06-02T21:52:41Z,,twitter.com,Amsterdam,NL,PPLC,Amsterdam,SOURCE_LOCATION,"Amsterdam, Gemeente Amsterdam, North Holland, Netherlands",2759794,"52.37403,4.88969",North Holland,stmpD_KOmQb6CD1cjAkzyxxUzUc,870613775942131713,,,,,SOURCE_TASK,nl,2017-06-02T21:52:41Z,,['https://t.co/tsa78z6iSn'],Vluchtelingen Wij Zijn Hier kraken Haardstee 10 #Zuidoost #vluchtelingen #kraken #amsterdam http://wijzijnhier.org/who-we-are/ ,True,nXaIlyTtX8Dw570RpfszcJkpuwI,TEXT,127,,324,,https://twitter.com/ArjanGeluk/status/870613775942131713,2017-05-31T21:25:07Z,False,,,,https://twitter.com/ArjanGeluk/status/870613775942131713,NEUTRAL,1496440361934500002,13063,True,https://pbs.twimg.com/profile_images/648511186049171457/EUKGP68C_bigger.jpg,Zuidoost_TV,https://twitter.com/Zuidoost_TV,Zuidoost TV,3052891741,870028392317497344,https://twitter.com/Zuidoost_TV/status/870028392317497344,https://twitter.com/Zuidoost_TV,Zuidoost TV,RAW,,twitter.com,['#qEnI3K5iNlBUhbTeo7j3JNc3RYo'],WyMHOBM5fEY7tbFB9ljV8RwOMfY,387128,2009-06-21T01:56:00Z,2017-06-02T21:52:39Z,"<p>Amsterdam - The Netherlands. surfing internet - webdesign - graphic design - photography - artwork - creatief - <a href=""https://t.co/vpRq2n7cfd"" rel=""nofollow noopener"" title=""http://www.facebook.com/artworkfromaj""><span>http://www.</span><span>facebook.com/artworkfromaj</span><span><span>&nbsp;</span></span></a> works@Zuidoost_TV</p>",0,0,103,79,229,ArjanGeluk,mnizColxbr5rl5WQ2u7wGHgiZBI,200,0,https://pbs.twimg.com/profile_images/743028043011219456/CU3vdUv-_400x400.jpg,0,2017-05-30T09:11:08Z,2017-06-02T21:52:40Z,2017-05-31T01:35:25Z,0,https://twitter.com/ArjanGeluk,Amsterdam,2017-06-02T21:52:39Z,35,35,['http://www.adam-zuidoost.nl'],twitter,MICROBLOG,https://twitter.com/ArjanGeluk,DEFAULT,DEFAULT,0,ADAPTIVE,0.0,Arjan Geluk,3600000,0,False,"['Zuidoost', 'amsterdam', 'kraken', 'vluchtelingen']",POST,6.5.180,
2,https://pbs.twimg.com/profile_images/1406643547/2011slubice_001_400x400.jpg,UNKNOWN,KesTeab,https://twitter.com/KesTeab,Kes Teab,321536145,1496085900001,https://twitter.com/KesTeab/status/868494067872796672,,2017-05-29T19:25:51Z,,twitter.com,,,,,,,,,,HdSGU59tHdM7YoNjdp8uCerT6xU,868494067872796672,,,,https://pbs.twimg.com/media/DA2CXsaXkAADLTw.jpg,SOURCE_TASK,nl,2017-05-29T19:25:51Z,,,Deze nationalisten zamelen dus geld in om het redden van verdrinkende mensen te voorkomen 😢 #vluchtelingen #mensenrechten,True,MFPo9NIfg4zWdH1KQIOHHoxLXMI,TEXT,122,,324,,https://twitter.com/KesTeab/status/868494067872796672,2017-05-27T15:47:32Z,False,,,,https://twitter.com/KesTeab/status/868494067872796672,POSITIVE,1496085951799100037,10101,True,https://pbs.twimg.com/profile_images/847453803418931200/O8MqVrc8_bigger.jpg,Matthijs85,https://twitter.com/Matthijs85,Matthijs Pontier,47361215,868493882576732160,https://twitter.com/Matthijs85/status/868493882576732160,https://twitter.com/Matthijs85,Matthijs Pontier,RAW,,twitter.com,['#G0YTWiryNleW5W4IWx2LALoQzdE'],E1YhUt4XfGr3JdbGBrVVWUn4p4A,351423,2011-06-21T11:43:00Z,2017-05-29T19:25:48Z,"<p>We hebben het vaak over <a href=""https://twitter.com/geertwilderspvv"" rel=""nofollow"">@<b>geertwilderspvv</b></a>, maar Hitler en Pol Pot waren ook geen lieverdjes; Geblokt door fascisten; Vega; ADO; Zappa; PRO-EU</p>",0,0,84,1362,927,KesTeab,jWLzglNQ54RekBhbCykqhOct4bw,200,0,https://pbs.twimg.com/profile_images/1406643547/2011slubice_001_400x400.jpg,0,2017-05-22T21:23:17Z,2017-05-29T19:25:48Z,2017-05-26T02:03:01Z,0,https://twitter.com/kesteab,,2017-05-29T19:25:48Z,37,37,,twitter,MICROBLOG,https://twitter.com/kesteab,,DEFAULT,0,ADAPTIVE,0.0,Kes Teab,3600000,0,False,"['mensenrechten', 'vluchtelingen']",POST,6.5.171,
3,https://pbs.twimg.com/profile_images/821327203988307970/rXeFKYqo_400x400.jpg,FEMALE,VandijkenE,https://twitter.com/VandijkenE,Esther van Dijken,2161967405,1496440200059,https://twitter.com/VandijkenE/status/870368730139811843,,2017-06-02T21:53:13Z,,twitter.com,,,,,,,,,,w4dhIyg-Fa4wm55D_KfnJ1ZqqLM,870368730139811843,,,,https://pbs.twimg.com/media/DBQXzDJXcAEME0d.jpg,SOURCE_TASK,nl,2017-06-02T21:53:13Z,,['https://t.co/63qtLVjT51'],Kamervragen na artikel @looovetinkebell: #vluchtelingen terecht als oorlogsmisdadiger aangemerkt? @JoelVoordewind http://bit.ly/2qGbK0M ,True,tjNBJVLNv8CYAVALevSFtmkrgfQ,TEXT,136,['JoelVoordewind'],334,,https://twitter.com/VandijkenE/status/870368730139811843,2017-06-01T18:30:21Z,False,,,,https://twitter.com/VandijkenE/status/870368730139811843,NEUTRAL,1496440393638200147,11059,True,https://pbs.twimg.com/profile_images/649124700694650881/_wDpECve_bigger.jpg,oneworldnl,https://twitter.com/oneworldnl,oneworldnl,17340974,870346796136103936,https://twitter.com/oneworldnl/status/870346796136103936,https://twitter.com/oneworldnl,oneworldnl,RAW,,twitter.com,['#qEnI3K5iNlBUhbTeo7j3JNc3RYo'],Ukk5bhujxylcE91j5dZVeuKOmdA,355552,2013-10-31T08:16:00Z,2017-06-02T21:53:11Z,"<p>Fractieass.PvdA Winsum,Scheidsrechter KNVB, Voorzitter GV Baflo, Motto:geloof in gelijke kansen voor iedereen <a href=""https://twitter.com/hashtag/kinderpardon?src=hash"">#<b>kinderpardon</b></a> <a href=""https://twitter.com/hashtag/kinderrechten?src=hash"">#<b>kinderrechten</b></a></p>",0,0,4632,1220,1740,VandijkenE,UsOpr0MqxB8Dk-v5Y0ilDyW6ADM,200,0,https://pbs.twimg.com/profile_images/821327203988307970/rXeFKYqo_400x400.jpg,0,2017-05-30T16:42:11Z,2017-06-02T21:53:11Z,2017-05-31T01:35:56Z,0,https://twitter.com/VandijkenE,,2017-06-02T21:53:11Z,36,36,,twitter,MICROBLOG,https://twitter.com/VandijkenE,DEFAULT,DEFAULT,0,ADAPTIVE,0.0,Esther van Dijken,3600000,0,False,['vluchtelingen'],POST,6.5.180,
4,https://pbs.twimg.com/profile_images/797052274593959936/ou7Xjwbc_400x400.jpg,MALE,JoelVoordewind,https://twitter.com/JoelVoordewind,Joël Voordewind,70167492,1496389500023,https://twitter.com/JoelVoordewind/status/870367438424223744,,2017-06-02T07:45:02Z,,twitter.com,Amsterdam,NL,PPLC,Amsterdam,SOURCE_LOCATION,"Amsterdam, Gemeente Amsterdam, North Holland, Netherlands",2759794,"52.37403,4.88969",North Holland,b4icj-xh5PfiDPEdLHWRVnBiuXc,870367438424223744,,,,https://pbs.twimg.com/media/DBQXzDJXcAEME0d.jpg,SOURCE_TASK,nl,2017-06-02T07:45:02Z,,['https://t.co/63qtLVjT51'],Kamervragen na artikel @looovetinkebell: #vluchtelingen terecht als oorlogsmisdadiger aangemerkt? @JoelVoordewind http://bit.ly/2qGbK0M ,True,tjNBJVLNv8CYAVALevSFtmkrgfQ,TEXT,136,['JoelVoordewind'],334,,https://twitter.com/JoelVoordewind/status/870367438424223744,2017-06-01T18:30:21Z,False,,,,https://twitter.com/JoelVoordewind/status/870367438424223744,NEUTRAL,1496389502638200116,96023,True,https://pbs.twimg.com/profile_images/649124700694650881/_wDpECve_bigger.jpg,oneworldnl,https://twitter.com/oneworldnl,oneworldnl,17340974,870346796136103936,https://twitter.com/oneworldnl/status/870346796136103936,https://twitter.com/oneworldnl,oneworldnl,RAW,,twitter.com,['#G0YTWiryNleW5W4IWx2LALoQzdE'],oLCAbLRRszFbMG52iaiKZoJBajs,357800,2009-08-30T10:30:00Z,2017-05-29T19:45:21Z,"<p>Echtgenoot en vader. 2e Kamerlid CU. Wil dat kinderarbeid stopt, strijdt tegen christenvervolging, is voor menswaardige behand. asielzoekers en vluchtelingen!</p>",0,0,22,14042,518,JoelVoordewind,3AWZPWtTslpU6rwcpVk2Jf5JTl4,200,0,https://pbs.twimg.com/profile_images/797052274593959936/ou7Xjwbc_400x400.jpg,0,2017-05-31T21:16:36Z,2017-06-02T07:45:01Z,2017-06-01T02:30:03Z,0,https://twitter.com/joelvoordewind,Amsterdam,2017-06-02T07:57:03Z,31,31,['http://www.joelvoordewind.nl'],twitter,MICROBLOG,https://twitter.com/joelvoordewind,,DEFAULT,0,ADAPTIVE,0.0,Joël Voordewind,106017689,0,False,['vluchtelingen'],POST,6.5.180,
5,https://pbs.twimg.com/profile_images/661809683712339968/ejsmRDI7_400x400.jpg,UNKNOWN,askv_tweet,https://twitter.com/askv_tweet,ASKVluchtelingen,238710643,1496637600042,https://twitter.com/askv_tweet/status/870527568327397376,,2017-06-05T04:42:05Z,,twitter.com,Amsterdam,NL,PPLC,Amsterdam,SOURCE_LOCATION,"Amsterdam, Gemeente Amsterdam, North Holland, Netherlands",2759794,"52.37403,4.88969",North Holland,yjfMw0u55wxm_sBVQpeuWtWa8GI,870527568327397376,,,,https://pbs.twimg.com/media/DBQXzDJXcAEME0d.jpg,SOURCE_TASK,nl,2017-06-05T04:42:05Z,,['https://t.co/63qtLVjT51'],Kamervragen na artikel @looovetinkebell: #vluchtelingen terecht als oorlogsmisdadiger aangemerkt? @JoelVoordewind http://bit.ly/2qGbK0M ,True,tjNBJVLNv8CYAVALevSFtmkrgfQ,TEXT,136,['JoelVoordewind'],324,,https://twitter.com/askv_tweet/status/870527568327397376,2017-06-01T18:30:21Z,False,,,,https://twitter.com/askv_tweet/status/870527568327397376,NEUTRAL,1496637725394600127,95842,True,https://pbs.twimg.com/profile_images/649124700694650881/_wDpECve_bigger.jpg,oneworldnl,https://twitter.com/oneworldnl,oneworldnl,17340974,870346796136103936,https://twitter.com/oneworldnl/status/870346796136103936,https://twitter.com/oneworldnl,oneworldnl,RAW,,twitter.com,['#qEnI3K5iNlBUhbTeo7j3JNc3RYo'],fl-KoJ9ZdROUKiLer5OgtF6J2qw,349650,2011-01-15T01:11:00Z,2017-06-05T04:42:00Z,"<p>Het ASKV zet zich in voor vluchtelingen en uitgeprocedeerde asielzoekers, en biedt juridische begeleiding, maatschappelijke hulp, opvang en meer.</p>",0,0,1100,986,150,askv_tweet,izS-u_FX1VnnTvYmEGzNzN8h_4E,200,0,https://pbs.twimg.com/profile_images/661809683712339968/ejsmRDI7_400x400.jpg,0,2017-05-24T19:37:38Z,2017-06-05T04:42:01Z,2017-05-25T06:13:20Z,0,https://twitter.com/askv_tweet,Amsterdam,2017-06-05T04:42:00Z,38,38,['http://www.askv.nl'],twitter,MICROBLOG,https://twitter.com/askv_tweet,DEFAULT,DEFAULT,0,ADAPTIVE,0.0,ASKVluchtelingen,3600000,0,False,['vluchtelingen'],POST,6.5.180,
6,https://pbs.twimg.com/profile_images/842509164924600321/zEq2D05p_400x400.jpg,FEMALE,nikivschenkhof,https://twitter.com/nikivschenkhof,Niki van Schenkhof,230157692,1496638500046,https://twitter.com/nikivschenkhof/status/869661828401463296,,2017-06-05T04:58:34Z,,twitter.com,,,,,,,,,,8p3VzaaD89sB9e5lEGh04Z9mKWI,869661828401463296,,,,,SOURCE_TASK,nl,2017-06-05T04:58:34Z,,,Het maken van een documentaire is dus best vermoeiend. Wel leuk. En interessant. #nieuweverhalen #vluchtelingen,True,HW1Ab65Tpg4_jC6aaew9Bn65PQs,TEXT,111,,324,,https://twitter.com/nikivschenkhof/status/869661828401463296,2017-05-30T19:40:04Z,False,,,,https://twitter.com/nikivschenkhof/status/869661828401463296,NEUTRAL,1496638714030100029,51746,True,https://pbs.twimg.com/profile_images/861687069348855808/9-DcWT9i_bigger.jpg,innesvdheuvel,https://twitter.com/innesvdheuvel,Innes van den Heuvel,99980313,869639564775870469,https://twitter.com/innesvdheuvel/status/869639564775870469,https://twitter.com/innesvdheuvel,Innes van den Heuvel,RAW,,twitter.com,['#qEnI3K5iNlBUhbTeo7j3JNc3RYo'],Ns8mGLXMydN-F-LDFjvCa1JK15w,341127,2010-12-24T04:55:00Z,2017-06-05T04:58:32Z,<p>23 | Media &amp; Cultuur | Utrecht</p>,0,0,1533,169,228,nikivschenkhof,lnstYYalqrC0MN9yj0hU0Vo2UOY,200,0,https://pbs.twimg.com/profile_images/842509164924600321/zEq2D05p_400x400.jpg,0,2017-05-17T12:23:52Z,2017-06-05T04:58:33Z,2017-05-25T07:43:22Z,0,https://twitter.com/nikivschenkhof,,2017-06-05T04:58:32Z,31,31,,twitter,MICROBLOG,https://twitter.com/nikivschenkhof,DEFAULT,DEFAULT,0,ADAPTIVE,0.0,Niki van Schenkhof,3600000,0,False,"['nieuweverhalen', 'vluchtelingen']",POST,6.5.180,
7,https://pbs.twimg.com/profile_images/576783932126937088/g7u9-N8D_400x400.jpeg,UNKNOWN,TonMeurs,https://twitter.com/TonMeurs,Meurs A.M.,3064000545,1496530500087,https://twitter.com/TonMeurs/status/870293969225297921,,2017-06-03T22:56:35Z,,twitter.com,,,,,,,,,,PmXDDfF--7kHh5GEe9Q_UQulX2M,870293969225297921,,,,https://pbs.twimg.com/media/DBOmUKiW0AAw7S2.jpg,SOURCE_TASK,nl,2017-06-03T22:56:35Z,,['https://t.co/saxq82tn4C'],"Sponsor voor de http://nachtvandevluchteling.nl/savannahkoolen  die al jaren strijd voert voor de afgewezen #vluchtelingen van @wijzijnhierNL, waarvoor veel dank!",True,ZpEtA1WdiY8ITFOWfsUqjIHXNbw,TEXT,162,,324,,https://twitter.com/TonMeurs/status/870293969225297921,2017-06-01T10:15:57Z,False,,,,https://twitter.com/TonMeurs/status/870293969225297921,NEUTRAL,1496530595071000033,77987,True,https://pbs.twimg.com/profile_images/576783932126937088/g7u9-N8D_bigger.jpeg,TonMeurs,https://twitter.com/TonMeurs,Meurs A.M.,3064000545,870222378256740352,https://twitter.com/TonMeurs/status/870222378256740352,https://twitter.com/TonMeurs,Meurs A.M.,RAW,,twitter.com,['#qEnI3K5iNlBUhbTeo7j3JNc3RYo'],vHvdI1Qdu45S62VwZLR1VIquRiE,357143,2015-02-26T11:33:00Z,2017-06-03T22:56:32Z,<p></p>,0,0,457,64,155,TonMeurs,dqyP2BZzAu5Ux7FJX0uOpzofZck,200,0,https://pbs.twimg.com/profile_images/576783932126937088/g7u9-N8D_400x400.jpeg,0,2017-05-30T09:36:01Z,2017-06-03T22:56:33Z,2017-05-31T02:12:46Z,0,https://twitter.com/TonMeurs,,2017-06-03T22:56:32Z,35,35,['https://www.meursam.nl'],twitter,MICROBLOG,https://twitter.com/TonMeurs,DEFAULT,DEFAULT,0,ADAPTIVE,0.0,Meurs A.M.,3600000,0,False,['vluchtelingen'],POST,6.5.180,
8,https://pbs.twimg.com/profile_images/845601494145679360/w9vHLgRz_400x400.jpg,MALE,MichielScheffer,https://twitter.com/MichielScheffer,Michiel Scheffer,134772116,1496077500056,https://twitter.com/MichielScheffer/status/869162613703417856,,2017-05-29T17:07:20Z,,twitter.com,Nijmegen,NL,PPL,"Nijmegen, NL",SOURCE_LOCATION,"Nijmegen, Gemeente Nijmegen, Gelderland, Netherlands",2750053,"51.8425,5.85278",Gelderland,-anWlM2QdhlKUudXUTOQzzrf04g,869162613703417856,,,,https://pbs.twimg.com/media/DA_h1PEXkAAI5ZK.jpg,SOURCE_TASK,nl,2017-05-29T17:07:20Z,,,Afsluiting drukbezochte conferentie #integratie #vluchtelingen @provgelderland door @MichielScheffer met de vraag over regie voering.,True,ykLLpqImwKA-_g8T3Dt526I_ivw,TEXT,133,"['provgelderland', 'MichielScheffer']",334,,https://twitter.com/MichielScheffer/status/869162613703417856,2017-05-29T12:00:40Z,False,,,,https://twitter.com/MichielScheffer/status/869162613703417856,NEUTRAL,1496077640795900016,68456,True,https://pbs.twimg.com/profile_images/851677915720945664/ksR1Q37B_bigger.jpg,BeaSchouten,https://twitter.com/BeaSchouten,Bea Schouten,102461803,869161566855286784,https://twitter.com/BeaSchouten/status/869161566855286784,https://twitter.com/BeaSchouten,Bea Schouten,RAW,,twitter.com,['#G0YTWiryNleW5W4IWx2LALoQzdE'],0JDp5IADuBjSYQZB7Eoe13p-Xuc,373716,2010-04-19T04:54:00Z,2017-04-18T21:21:44Z,"<p>in Gelderland Gedeputeerde EZ, Onderwijs, Europa (D66) Vz Interreg DE-NL, <a href=""https://twitter.com/EU_CoR"" rel=""nofollow"">@<b>EU_CoR</b></a> Geb.Manchester, nu Nijmegen Gasthoogleraar Wuhan Business Univ. RTnietperseOK</p>",0,0,4324,4403,3189,MichielScheffer,hxDQWkAowbHZgg7uUk31Krgl_fo,200,0,https://pbs.twimg.com/profile_images/845601494145679360/w9vHLgRz_400x400.jpg,0,2017-05-29T11:19:53Z,2017-05-29T17:07:19Z,2017-05-29T11:50:03Z,0,https://twitter.com/michielscheffer,"Nijmegen, NL",2017-05-29T17:07:17Z,27,27,['http://michielscheffer.nl'],twitter,MICROBLOG,https://twitter.com/michielscheffer,,DEFAULT,0,ADAPTIVE,0.0,Michiel Scheffer,19033465,0,False,"['integratie', 'vluchtelingen']",POST,6.5.171,
9,https://pbs.twimg.com/profile_images/574862611302342656/7KVgAxFU_400x400.jpeg,UNKNOWN,provgelderland,https://twitter.com/provgelderland,Provincie Gelderland,19177687,1496085300018,https://twitter.com/provgelderland/status/869176908629626880,,2017-05-29T19:17:06Z,,twitter.com,Arnhem,NL,PPLA,Arnhem,SOURCE_LOCATION,"Arnhem, Gemeente Arnhem, Gelderland, Netherlands",2759661,"51.98,5.91111",Gelderland,hbBK4EaWOok2_nfLIFQplOh6eT4,869176908629626880,,,,https://pbs.twimg.com/media/DA_h1PEXkAAI5ZK.jpg,SOURCE_TASK,nl,2017-05-29T19:17:06Z,,,Afsluiting drukbezochte conferentie #integratie #vluchtelingen @provgelderland door @MichielScheffer met de vraag over regie voering.,True,ykLLpqImwKA-_g8T3Dt526I_ivw,TEXT,133,"['provgelderland', 'MichielScheffer']",324,,https://twitter.com/provgelderland/status/869176908629626880,2017-05-29T12:00:40Z,False,,,,https://twitter.com/provgelderland/status/869176908629626880,NEUTRAL,1496085426221700031,4318,True,https://pbs.twimg.com/profile_images/851677915720945664/ksR1Q37B_bigger.jpg,BeaSchouten,https://twitter.com/BeaSchouten,Bea Schouten,102461803,869161566855286784,https://twitter.com/BeaSchouten/status/869161566855286784,https://twitter.com/BeaSchouten,Bea Schouten,RAW,,twitter.com,['#G0YTWiryNleW5W4IWx2LALoQzdE'],sB7loQD13iggsG6yGlfyN9n8Otg,357642,2009-01-19T12:54:00Z,2017-05-29T19:17:04Z,"<p>Het officiële account van de provincie Gelderland. Voor nieuws, informatie en contact met de provincie.</p>",0,0,431,19003,3668,provgelderland,sxJqiW1pSMTfE72qWtK68Qn5ffw,200,0,https://pbs.twimg.com/profile_images/574862611302342656/7KVgAxFU_400x400.jpeg,0,2017-05-26T07:05:27Z,2017-05-29T19:17:04Z,2017-05-26T15:04:23Z,0,https://twitter.com/provgelderland,Arnhem,2017-05-29T19:17:04Z,30,30,['http://www.gelderland.nl/'],twitter,MICROBLOG,https://twitter.com/provgelderland,DEFAULT,DEFAULT,0,ADAPTIVE,0.0,Provincie Gelderland,3600000,0,False,"['integratie', 'vluchtelingen']",POST,6.5.171,
