,author_avatar_img,author_gender,author_handle,author_link,author_name,author_user_id,bucket,canonical,date_found,domain,geo_city,geo_country,geo_featurename,geo_method,geo_name,geo_name_id,geo_point,geo_state,hashcode,identifier,image_src,index_method,lang,last_updated,likes,links,main,main_authoritative,main_checksum,main_format,main_length,mentions,metadata_score,permalink,published,replied,replied_profile_link,replied_profile_title,resource,sentiment,sequence,sequence_range,shared_type,shares,site,source_assigned_tags,source_content_checksum,source_content_length,source_created,source_date_found,source_description,source_favicon_height,source_favicon_width,source_favorites,source_followers,source_following,source_handle,source_hashcode,source_http_status,source_image_height,source_image_src,source_image_width,source_last_posted,source_last_published,source_last_updated,source_likes,source_link,source_location,source_next_update,source_parsed_posts,source_parsed_posts_max,source_profiles,source_publisher_subtype,source_publisher_type,source_resource,source_setting_author_policy,source_setting_index_strategy,source_setting_minimum_content_metadata_score,source_setting_update_strategy,source_spam_probability,source_title,source_update_interval,source_user_interactions,source_verified,tags,type,version,video_player
0,https://pbs.twimg.com/profile_images/790562758915919872/McYsEZSU_bigger.jpg,UNKNOWN,WelcomeRide,https://twitter.com/WelcomeRide,WelcomeRide,777895641271918592,1483101900064,https://twitter.com/WelcomeRide/status/797153305080266752,2016-12-30T12:47:26Z,twitter.com,,,,,,,,,TymcZPWXN-ZlHXngoq0RFAuEMOA,797153305080266752,,SOURCE_TASK,en,2016-12-30T12:47:26Z,0,,Helping #refugees made easy with #WelcomeRide!,True,KpgMGnuoul8iXtONlVF2mQaUzlU,TEXT,46,,314,https://twitter.com/WelcomeRide/status/797153305080266752,2016-11-11T19:05:32Z,False,,,https://twitter.com/WelcomeRide/status/797153305080266752,POSITIVE,1483102046269500000,31264,NONE,0,twitter.com,['#UwyjYXbrSTG-lvMt-i6by5kr8S8'],YHQ0rfxSrww95AvyEHenBVleRJ0,307222,2016-09-19T08:42:00Z,2016-12-30T12:47:19Z,<p>Social Ridesharing for your City</p>,0,0,23,36,233,WelcomeRide,2wrF2GNiDpq_t7Y_92-Pe9hRXek,200,0,https://pbs.twimg.com/profile_images/790562758915919872/McYsEZSU_400x400.jpg,0,,2016-12-30T12:47:24Z,,0,https://twitter.com/WelcomeRide,,2016-12-30T12:47:19Z,19,19,['http://www.welcomeride.eu'],twitter,MICROBLOG,https://twitter.com/WelcomeRide,DEFAULT,DEFAULT,0,ADAPTIVE,0.0,WelcomeRide,3600000,0,False,"['WelcomeRide', 'refugees']",POST,6.5.83,
1,https://pbs.twimg.com/profile_images/634881068819087360/p2hXTTLr_bigger.jpg,UNKNOWN,rootbranchinc,https://twitter.com/rootbranchinc,Root+Branch,3433430865,1483236900004,https://twitter.com/rootbranchinc/status/796773932745494528,2017-01-01T02:18:08Z,twitter.com,,,,,,,,,eDEtME7vd7Oz4USrn_dcmXHMylQ,796773932745494528,,SOURCE_TASK,en,2017-01-01T02:18:08Z,0,['https://t.co/2t62CQo7Ai'],Refugees Could 'Save' America's Legacy Cities. Let them. http://buff.ly/2ftfpX5  #immigration #refugees #openarms,True,BBAZIqvXt5g2n1h7LuCP0-2_PWs,TEXT,113,,314,https://twitter.com/rootbranchinc/status/796773932745494528,2016-11-10T17:58:03Z,False,,,https://twitter.com/rootbranchinc/status/796773932745494528,NEUTRAL,1483237088829100029,97204,NONE,0,twitter.com,['#UwyjYXbrSTG-lvMt-i6by5kr8S8'],6Oi5paGD3AOpsPwtmwj0-oYCR48,311454,2015-08-20T04:29:00Z,2017-01-01T02:18:03Z,<p>align neighbors. connect resources. create solutions. DC based B Corps. rootandbranchinc@gmail.com</p>,0,0,38,57,278,rootbranchinc,b7JnZxEyggh0H6Tf-UDlPJ3yoxQ,200,0,https://pbs.twimg.com/profile_images/634881068819087360/p2hXTTLr_400x400.jpg,0,2015-08-21T19:23:51Z,2017-01-01T02:18:04Z,2015-08-21T20:07:06Z,0,https://twitter.com/rootbranchinc,,2017-01-01T02:18:03Z,20,20,['http://www.rootandbranchinc.com'],twitter,MICROBLOG,https://twitter.com/rootbranchinc,DEFAULT,DEFAULT,0,ADAPTIVE,0.0,Root+Branch,3600000,0,False,"['immigration', 'openarms', 'refugees']",POST,6.5.84,
2,https://pbs.twimg.com/profile_images/789246997312053248/5mjwU3r8_bigger.jpg,UNKNOWN,cassibourke,https://twitter.com/cassibourke,Cassi Bourke,732491747524149251,1480376700049,https://twitter.com/cassibourke/status/794735579661365248,2016-11-28T23:47:53Z,twitter.com,,,,,,,,,6DIIafoZ0T0sr8XQUMdjnKDcz5E,794735579661365248,,SOURCE_TASK,en,2016-11-28T23:47:53Z,2,,"""Don't let today be a one off"" @RefugeeAction #refugees #bringthemhere",True,Kt5aRyUqwrk-YyOxkuVL7gBl8aM,TEXT,70,['RefugeeAction'],316,https://twitter.com/cassibourke/status/794735579661365248,2016-11-05T02:58:22Z,False,,,https://twitter.com/cassibourke/status/794735579661365248,NEUTRAL,1480376873442200509,14449,,1,twitter.com,['#sLTlvNQHFfi3l6LXdQXo7pl7I3I'],brjxIODdvxY5hGi_LJUePw_aq2g,313347,2016-05-17T01:43:00Z,2016-11-28T23:47:46Z,"<p>Love • Mercy • Justice. Project Manager <a href=""https://twitter.com/LoveMercyUganda"" rel=""nofollow"">@<b>LoveMercyUganda</b></a>. Lawyer. Traveller.</p>",0,0,192,47,223,cassibourke,6PyKOYIYRXK52z7EKy82FGfsraY,200,0,https://pbs.twimg.com/profile_images/789246997312053248/5mjwU3r8_400x400.jpg,0,,2016-11-28T23:47:50Z,,0,https://twitter.com/cassibourke,,2016-11-28T23:47:46Z,28,28,['http://www.lovemercyfoundation.org'],twitter,MICROBLOG,https://twitter.com/cassibourke,DEFAULT,DEFAULT,0,ADAPTIVE,0.0,Cassi Bourke,3600000,0,True,"['bringthemhere', 'refugees']",POST,6.5.49,
3,https://pbs.twimg.com/profile_images/552168621258989568/CNykGmSo_bigger.jpeg,UNKNOWN,crypticvalentin,https://twitter.com/crypticvalentin,Vas,17674244,1482224100016,https://twitter.com/crypticvalentin/status/797120642399293440,2016-12-20T08:55:52Z,twitter.com,"Washington, D.C.",US,PPLC,SOURCE_LOCATION,"Washington, D.C., Washington, D.C., United States",4140963,"38.89511,-77.03637","Washington, D.C.",OgEwrw3av8yn4Ld9f7JZ5CMZiwg,797120642399293440,,SOURCE_TASK,en,2016-12-20T08:55:52Z,0,,Erdogan says Europe not ready to face 3mn refugees as EU-Turkey deal collapse looms...#Europe..#refugees,True,5T0cW6TYfKfLH2leXbmz9_PqM-k,TEXT,104,,313,https://twitter.com/crypticvalentin/status/797120642399293440,2016-11-11T16:55:45Z,False,,,https://twitter.com/crypticvalentin/status/797120642399293440,NEGATIVE,1482224152463700072,46216,NONE,0,twitter.com,['#UwyjYXbrSTG-lvMt-i6by5kr8S8'],ZgG9_-UL_YSshpnajqPxKZKuQkk,317449,2008-11-27T01:52:00Z,2016-12-20T08:54:41Z,<p>artromancephotographywritingspiritual</p>,0,0,43,511,36,crypticvalentin,u6XZBipkD_oK_JwjXRPKSs62gfk,200,0,https://pbs.twimg.com/profile_images/552168621258989568/CNykGmSo_400x400.jpeg,0,2016-11-11T04:22:26Z,2016-12-20T08:54:43Z,2016-11-11T04:51:02Z,0,https://twitter.com/crypticvalentin,"Washington, DC",2016-12-20T08:54:41Z,20,32,['http://dayandnightz.tumblr.com/'],twitter,MICROBLOG,https://twitter.com/crypticvalentin,DEFAULT,DEFAULT,0,ADAPTIVE,0.0,Vas,3600000,0,False,"['Europe', 'refugees']",POST,6.5.69,
4,https://pbs.twimg.com/profile_images/722636277720444928/xPtbYN5__bigger.jpg,UNKNOWN,sci_umbra,https://twitter.com/sci_umbra,SCI/Umbra,722329669878620160,1483123200052,https://twitter.com/sci_umbra/status/795336229395038208,2016-12-30T18:43:15Z,twitter.com,,US,,SOURCE_LOCATION,United States,6252001,,,8leT2QKMsaVeqw1H71-PlRmwQ0Q,795336229395038208,https://pbs.twimg.com/media/CwmaFZQXUAAi1Vx.jpg,SOURCE_TASK,en,2016-12-30T18:43:15Z,0,,#HillarysAmerica #HillaryClinton wants more #refugees! << #NeverHillary #MAGA #TrumpTrain #MakeAmericaGreatAgain #tcot #GOP PLEASE RETWEET,True,MgR4x51n8VL0l26ilP2Sz7YhytY,TEXT,138,,324,https://twitter.com/sci_umbra/status/795336229395038208,2016-11-06T18:45:08Z,False,,,https://twitter.com/sci_umbra/status/795336229395038208,NEUTRAL,1483123395012400044,4452,NONE,0,twitter.com,['#UwyjYXbrSTG-lvMt-i6by5kr8S8'],UsyfzebxDsLtdVY0uYauHqXUF1M,357304,2016-04-19T12:43:00Z,2016-12-30T18:42:23Z,"<p>TOP SECRET//UMBRA//ORCON | PROUD <a href=""https://twitter.com/hashtag/DEPLORABLE?src=hash"">#<b>DEPLORABLE</b></a></p>",0,0,1531,256,427,sci_umbra,AjtiKhgOACrh2MLo3uJ-eI833CE,200,0,https://pbs.twimg.com/profile_images/722636277720444928/xPtbYN5__400x400.jpg,0,2016-04-20T04:25:14Z,2016-12-30T18:42:26Z,2016-04-20T04:25:41Z,0,https://twitter.com/sci_umbra,United States,2016-12-30T18:42:23Z,20,39,,twitter,MICROBLOG,https://twitter.com/sci_umbra,DEFAULT,DEFAULT,0,ADAPTIVE,0.0,SCI/Umbra,3600000,0,True,"['GOP', 'HillaryClinton', 'HillarysAmerica', 'MAGA', 'MakeAmericaGreatAgain', 'NeverHillary', 'TrumpTrain', 'refugees', 'tcot']",POST,6.5.83,
5,https://pbs.twimg.com/profile_images/792355557118242816/WFbjhZtc_bigger.jpg,FEMALE,WishItWerentSo,https://twitter.com/WishItWerentSo,Heather Nielsen,792351392082059265,1483099200082,https://twitter.com/WishItWerentSo/status/796275864954687492,2016-12-30T12:02:24Z,twitter.com,,US,,SOURCE_LOCATION,"Alabama, United States",4829764,,Alabama,V1pKBpN9zPoCMc-yoA4lAJc1d5o,796275864954687492,,SOURCE_TASK,en,2016-12-30T12:02:24Z,0,,"Sorry #refugees #hunger #Mother Earth, intn'l friends #racialjustice, #womensrights #Constitution #ArmedForces, America has other plans.",True,pFOb1h58WDTI7VwGYq28U9kuCt0,TEXT,136,,324,https://twitter.com/WishItWerentSo/status/796275864954687492,2016-11-09T08:58:54Z,False,,,https://twitter.com/WishItWerentSo/status/796275864954687492,NEGATIVE,1483099344405100018,47482,NONE,0,twitter.com,['#UwyjYXbrSTG-lvMt-i6by5kr8S8'],4hj0snkfUjJz8A7DmO7LBjnK-q4,338323,2016-10-29T06:04:00Z,2016-12-30T12:02:22Z,"<p>I am a multi-issue activist. Follow me so we can connect and fight together. (farming, politics, USA, human rights, food crisis, sugar/health, morals....)</p>",0,0,18,14,86,WishItWerentSo,MtLE5MVekj6Sbha7m8uls3t62M8,200,0,https://pbs.twimg.com/profile_images/792355557118242816/WFbjhZtc_400x400.jpg,0,,2016-12-30T12:02:22Z,,0,https://twitter.com/WishItWerentSo,"Alabama, USA",2016-12-30T12:02:22Z,23,23,,twitter,MICROBLOG,https://twitter.com/WishItWerentSo,DEFAULT,DEFAULT,0,ADAPTIVE,0.0,Heather Nielsen,3600000,0,False,"['ArmedForces', 'Constitution', 'Mother', 'hunger', 'racialjustice', 'refugees', 'womensrights']",POST,6.5.83,
6,https://pbs.twimg.com/profile_images/788500007208890368/tbxDLhQW_bigger.jpg,FEMALE,jessicakeralis,https://twitter.com/jessicakeralis,Jessica Keralis,106810017,1482294900030,https://twitter.com/jessicakeralis/status/795643234550747136,2016-12-21T04:35:22Z,twitter.com,,,,,,,,,zUg6EoU-5f3pmXD8HTvpEvnRT6o,795643234550747136,,SOURCE_TASK,en,2016-12-21T04:35:22Z,0,['https://t.co/MbyptmnoqE'],The Refugees/IDPs Daily is out! http://paper.li/jessicakeralis/1366382465?edition_id=8f3e4c30-a4fb-11e6-a0e4-0cc47a0d164b … Stories via @Laura_Padoan @HIASrefugees @UNHCRIreland #refugees #australia,True,PZv92Wkfa5y-mXtXDdT02_mOj5w,TEXT,198,"['Laura_Padoan', 'HIASrefugees', 'UNHCRIreland']",324,https://twitter.com/jessicakeralis/status/795643234550747136,2016-11-07T15:05:04Z,False,,,https://twitter.com/jessicakeralis/status/795643234550747136,NEUTRAL,1482294922525600052,29130,NONE,0,twitter.com,['#UwyjYXbrSTG-lvMt-i6by5kr8S8'],c5qco9qHdAlWpO4pSEGBTHth20E,323420,2010-01-20T11:26:00Z,2016-12-21T03:07:11Z,<p>Public health analyst providing global health and human rights commentary. Opinions are strictly my own and not of any employer.</p>,0,0,30,320,334,jessicakeralis,uTZSyyaxCMHR6qUS8o0O8FLtsQQ,200,0,https://pbs.twimg.com/profile_images/788500007208890368/tbxDLhQW_400x400.jpg,0,2014-11-25T06:06:07Z,2016-12-21T04:33:55Z,2015-12-16T19:30:33Z,0,https://twitter.com/jessicakeralis,,2016-12-21T03:07:11Z,20,30,['http://jessicakeralis.com'],twitter,MICROBLOG,https://twitter.com/jessicakeralis,DEFAULT,DEFAULT,0,ADAPTIVE,0.0,Jessica Keralis,3600000,0,False,"['australia', 'refugees']",POST,6.5.69,
7,https://pbs.twimg.com/profile_images/750380788328398848/tr-UXqLn_bigger.jpg,UNKNOWN,Thraedable,https://twitter.com/Thraedable,Thrǣdable,750380312526524417,1483147800090,https://twitter.com/Thraedable/status/795576361482129408,2016-12-31T01:30:58Z,twitter.com,,,,,,,,,RT6alpBj7ntdxtob5To4JUVst74,795576361482129408,https://pbs.twimg.com/media/CwpzoBwWIAAKx9F.jpg,SOURCE_TASK,en,2016-12-31T01:30:58Z,0,,#Afghanistan flag revisited by #refugees during our workshop. Black=death Red=#war Green will be for #life. #RefugeesWelcome #EUTurkeyDeal,True,bz-JEHrpAX7fSZDunLhJbgoJm5w,TEXT,138,,324,https://twitter.com/Thraedable/status/795576361482129408,2016-11-07T10:39:20Z,False,,,https://twitter.com/Thraedable/status/795576361482129408,NEGATIVE,1483147858733100040,39390,NONE,0,twitter.com,['#UwyjYXbrSTG-lvMt-i6by5kr8S8'],dIuLDUh6woK9jMNtgTcU2Iq1vwI,340909,2016-07-05T10:26:00Z,2016-12-31T01:30:53Z,"<p>Social enterprise. Collaborative clothing lines to support social projects &amp; a magazine to inform, expose, and tell untold stories.</p>",0,0,66,28,152,Thraedable,W6LpZwxTppYYeMLXKJUMuYJuI_c,200,0,https://pbs.twimg.com/profile_images/750380788328398848/tr-UXqLn_400x400.jpg,0,2016-07-24T14:42:01Z,2016-12-31T01:30:53Z,2016-07-24T14:42:23Z,0,https://twitter.com/Thraedable,,2016-12-31T01:30:53Z,20,32,['http://www.thraedable.com'],twitter,MICROBLOG,https://twitter.com/Thraedable,DEFAULT,DEFAULT,0,ADAPTIVE,0.0,Thrǣdable,3600000,0,False,"['Afghanistan', 'EUTurkeyDeal', 'RefugeesWelcome', 'life', 'refugees', 'war']",POST,6.5.84,
8,https://pbs.twimg.com/profile_images/788500007208890368/tbxDLhQW_bigger.jpg,FEMALE,jessicakeralis,https://twitter.com/jessicakeralis,Jessica Keralis,106810017,1482294900082,https://twitter.com/jessicakeralis/status/797092795366436864,2016-12-21T04:35:09Z,twitter.com,,,,,,,,,OEPc41J68F8ky2GW0VYlaqZLhdI,797092795366436864,,SOURCE_TASK,en,2016-12-21T04:35:09Z,0,['https://t.co/eNmE7znLmK'],The Refugees/IDPs Daily is out! http://paper.li/jessicakeralis/1366382465?edition_id=39ea8730-a820-11e6-a0e4-0cc47a0d164b … Stories via @IrishRefugeeCo @FMReview @UNHCRdc #refugees #australia,True,zTlOpO_enimI2SQ8GXJGtnLeu4g,TEXT,191,"['IrishRefugeeCo', 'FMReview', 'UNHCRdc']",324,https://twitter.com/jessicakeralis/status/797092795366436864,2016-11-11T15:05:06Z,False,,,https://twitter.com/jessicakeralis/status/797092795366436864,NEUTRAL,1482294909525600056,92882,NONE,0,twitter.com,['#UwyjYXbrSTG-lvMt-i6by5kr8S8'],c5qco9qHdAlWpO4pSEGBTHth20E,323420,2010-01-20T11:26:00Z,2016-12-21T03:07:11Z,<p>Public health analyst providing global health and human rights commentary. Opinions are strictly my own and not of any employer.</p>,0,0,30,320,334,jessicakeralis,uTZSyyaxCMHR6qUS8o0O8FLtsQQ,200,0,https://pbs.twimg.com/profile_images/788500007208890368/tbxDLhQW_400x400.jpg,0,2014-11-25T06:06:07Z,2016-12-21T04:33:55Z,2015-12-16T19:30:33Z,0,https://twitter.com/jessicakeralis,,2016-12-21T03:07:11Z,20,30,['http://jessicakeralis.com'],twitter,MICROBLOG,https://twitter.com/jessicakeralis,DEFAULT,DEFAULT,0,ADAPTIVE,0.0,Jessica Keralis,3600000,0,False,"['australia', 'refugees']",POST,6.5.69,
9,https://pbs.twimg.com/profile_images/1492160991/MP900400619_bigger.JPG,MALE,JustANobody2,https://twitter.com/JustANobody2,Just A Nobody,347510048,1482258000004,https://twitter.com/JustANobody2/status/797136326348967936,2016-12-20T18:24:03Z,twitter.com,,,,,,,,,R-6kWrwwuieTL-5EWRDkKVZ-AoQ,797136326348967936,,SOURCE_TASK,en,2016-12-20T18:24:03Z,0,['https://t.co/9IuM8FTUIv'],#Erdogan says #EU-#Europe not ready to face 3mn #refugees as EU-#Turkey deal collapse looms https://www.rt.com/news/366513-erdogan-threatens-europe-refugees/ … #Syria,True,RMNIjSTd041Xu9qTnzb7ctIC4kY,TEXT,166,,324,https://twitter.com/JustANobody2/status/797136326348967936,2016-11-11T17:58:04Z,False,,,https://twitter.com/JustANobody2/status/797136326348967936,NEGATIVE,1482258243249200205,9604,NONE,0,twitter.com,['#UwyjYXbrSTG-lvMt-i6by5kr8S8'],C_CjmMzcvsj7V_cXgNyXiDlqn0k,324523,2011-08-02T03:27:00Z,2016-12-20T18:20:34Z,"<p>Global News/Commentary: Main focus on Europe, Mideast,US,UK.... VOLUME = HEAVY! Views expressed by writers, sources are not necessarily my own.</p>",0,0,5460,397,101,JustANobody2,whug9Mke8pZT7yy1lto4UAxouyY,200,0,https://pbs.twimg.com/profile_images/1492160991/MP900400619_400x400.JPG,0,2016-11-11T02:51:24Z,2016-12-20T18:21:09Z,2016-11-11T07:20:01Z,0,https://twitter.com/JustANobody2,,2016-12-20T18:20:34Z,20,20,,twitter,MICROBLOG,https://twitter.com/JustANobody2,DEFAULT,DEFAULT,0,ADAPTIVE,0.0,Just A Nobody,3600000,0,False,"['EU', 'Erdogan', 'Europe', 'Syria', 'Turkey', 'refugees']",POST,6.5.69,
